Time,Value
0,0.9934283060224653
1,0.7718055641259122
2,3.382070384151997
3,6.151261779429447
4,3.6258766736398336
5,4.575981472143669
6,9.104850364965138
7,8.327046330682728
8,6.634612137125324
9,9.368389183446764
10,7.987874462454041
11,8.530614093473842
12,10.404315402804333
13,6.459021364856334
14,7.1046616348585365
15,9.6003748075586
16,8.770073789746204
17,11.395142769715234
18,8.82242815773953
19,7.58839347420356
20,13.024271806099925
21,9.230541065515666
22,9.320020447571748
23,5.757555749340287
24,6.865866356461141
25,7.456566620459298
26,4.153026563370036
27,6.375194839029642
28,3.548604121721437
29,3.2591057925532665
30,1.7077868561398784
31,5.67036299335078
32,0.9892641162483313
33,-2.042878799344287
34,0.7896788039380616
35,-4.199519576838243
36,-2.207477242939014
37,-7.367701656844485
38,-6.874951007224054
39,-4.533939120101494
40,-4.091091793088461
41,-5.790034548264166
42,-6.847054288912363
43,-7.613866758673126
44,-10.273064719630014
45,-8.964989593440388
46,-8.55818757825422
47,-5.534988123203177
48,-6.874409509221482
49,-10.900606436968792
50,-6.441074807841795
51,-7.478311384109954
52,-7.588390557813448
53,-4.4493218445572715
54,-2.9656458305679694
55,-2.4428430174715223
56,-5.191101425168485
57,-3.275280177678805
58,-1.0834949313304374
59,1.1623236059423583
60,-0.7525034576798385
61,0.8570570039514158
62,0.05643602381297974
63,0.9257257566821648
64,5.990543693293333
65,8.113679938019802
66,6.271393391973119
67,9.40556500195003
68,9.064405561481358
69,7.944158134671753
70,10.792657198204719
71,13.915763534190704
72,11.465026560271628
73,15.283653517913661
74,7.44759074993678
75,14.773804776497837
76,13.653290856791209
77,13.133667637838268
78,14.068955006817054
79,9.964275589195935
80,13.454238690558794
81,14.463123251474356
82,16.46309365628076
83,12.135177901015638
84,11.12900187509643
85,11.23135703906583
86,13.474775214145282
87,11.63719452014119
88,9.189651521383539
89,10.486743430805557
90,8.815339951113648
91,9.6782736045593
92,5.424792953247755
93,5.23921994187508
94,4.163537948269263
95,1.07145889911767
96,3.648972741899339
97,2.6545042802503374
98,1.2454356207656385
